questions,id,nom,status,published,date_added,date_modified
"Test,Quoi Quoi ?,T'as aimé ?,Question précise !",1,Quiz Test,1,,2022-04-21 21:16:04,2022-04-21 21:16:04
"Quel groupe de blocs permet de centrer le sprite ?,Quel bloc permet de réaliser l'animation ci-contre ?,Quel groupe de bloc permet de déplacer le sprite vers la droite ?,Que va-t-on faire dire au sprite avec le bloc de code ci-contre ?,Quel bloc permet de positionner le rond comme sur l'illustration ?,Quel axe permet de déplacer un sprite de la gauche vers la droite ?,Quel blocs permets de faire descendre le sprite ?,Quel groupe de bloc permet de réaliser l'animation ci-contre ?,Quel bout de code permet de faire sauter le sprite ci-contre ?,Que va-t-il se passer si je clique sur le drapeau ?,Quel bloc permet en appuyant sur la barre d'espace du clavier de faire avancer le joueur ?",2,Scratch,1,,2022-05-17 07:19:44,2022-05-17 07:19:44
